"product_id","sku","product_name","fit_id","fabric_id","wash_state","gender","default_inseam_label","colorway","status","regular_price","sales_price","nudie_product_url","description_html","release_season","run_code","notes","denim_weight_oz","denim_cat","material","made_in","product_description","collections","is_jeans","scraped_at"
"flare_glenn_streaky_worn_flare_glenn_streaky_worn","","Flare Glenn Streaky Worn","flare_glenn","streaky_worn","","mens","","","regular","280.0","","https://www.nudiejeans.com/en-CA/product/flare-glenn-streaky-worn","","","","Members only","","","","","","","yes","2026-02-26T23:20:08.660261"
"rad_rufus_dry_selvage_dry_rad_rufus_dry_selvage","","Rad Rufus Dry Selvage","rad_rufus","dry_selvage","dry","mens","","","regular","380.0","","https://www.nudiejeans.com/en-CA/product/rad-rufus-dry-selvage","","","","","","","","","","","yes","2026-02-26T23:20:37.978958"
"grim_tim_dry_japan_selvage_dry_grim_tim_dry_japan_selvage","","Grim Tim Dry Japan Selvage","grim_tim","dry_japan_selvage","dry","mens","","","regular","380.0","","https://www.nudiejeans.com/en-CA/product/grim-tim-dry-japan-selvage","","","","","","","","","","","yes","2026-02-26T23:21:08.450852"
