"product_id","sku","product_name","fit_id","fabric_id","wash_state","gender","default_inseam_label","colorway","status","regular_price","sales_price","nudie_product_url","description_html","release_season","run_code","notes","denim_weight_oz","denim_cat","material","made_in","product_description","collections","is_jeans","scraped_at"
"rad_rufus_dry_black_selvage_dry_rad_rufus_dry_black_selvage","","Rad Rufus Dry Black Selvage","rad_rufus","dry_black_selvage","dry","mens","","black","regular","380.0","","https://www.nudiejeans.com/en-CA/product/rad-rufus-dry-black-selvage","","","","Deadstock","14.5","Jeans Fits Jeans Fits High-waist, regular-fit jeans in 14.5 oz Japanese black selvedge denim","","","","","yes","2026-02-23T19:59:28.487056"
"tight_terry_everblack_unknown_tight_terry_everblack","","Tight Terry Everblack","tight_terry","everblack","","mens","","black","regular","250.0","","https://www.nudiejeans.com/en-CA/product/tight-terry-everblack","","","","Deadstock","","","","","","","yes","2026-02-23T19:59:50.559827"
"steady_eddie_ii_black_water_unknown_steady_eddie_ii_black_water","","Steady Eddie II Black Water","steady_eddie_ii","black_water","","mens","","black","regular","250.0","","https://www.nudiejeans.com/en-CA/product/steady-eddie-ii-black-water","","","","Deadstock","","","","","","","yes","2026-02-23T20:00:14.719646"
