fit_id,fit_name,baseline_size,waist,front_rise,back_rise,upper_thigh,knee,leg_opening,inseam,source_url,notes
501,Original Fit,32,32,11.25,,,17.5,16,,https://www.levi.com/CA/en_CA/clothing/men/jeans/straight/501-original-fit-mens-jeans/p/005013306,Regular Through The Thigh. Sits At Your Waist. Straight Leg.
511,Slim Fit,32,32,10.25,,,16.25,14.5,,https://www.levi.com/CA/en_CA/jeans-by-fit-number/men/jeans/511TM/511TM-slim-fit-mens-jeans/p/045115025,Slim Throughout. Sits Below Your Waist. Slim Leg.
505,Regular Fit,32,32,11.25,,,18,16,,https://www.levi.com/CA/en_CA/clothing/men/jeans/straight/505TM-regular-fit-mens-jeans/p/005052915,Regular Through The Thigh. Sits Below Your Waist. Straight Leg.
514,Straight Fit,32,32,10.25,,,17.5,16,,https://www.levi.com/CA/en_CA/clothing/men/jeans/straight/514TM-straight-fit-mens-jeans/p/005141286,Regular Through The Thigh. Sits Below Your Waist. Straight Leg.
517,Bootcut,32,32,11.5,,,17.25,18.25,,https://www.levi.com/CA/en_CA/clothing/men/jeans/bootcut/517TM-bootcut-mens-jeans/p/005170242,Slim Through The Thigh. Sits At Your Waist. Bootcut.
541,Athletic Taper Fit,32,32,10.375,,,17.75,15.75,,https://www.levi.com/CA/en_CA/clothing/men/jeans/taper/541TM-athletic-taper-fit-mens-jeans/p/181810925,Extra Room In The Seat And Thigh. Sits At Your Waist. Tapered Leg.
550,Relaxed Fit,32,32,11,,,19,16.5,,,Loose Through The Thigh. Sits At Your Waist.
