"product_id","product_name","fit_id","fabric_id","wash_state","gender","colorway","status","product_url","stretch"
"levis_501_001","501® Original Fit Men's Jeans","501","","","mens","Dark Wash","regular","https://www.levi.com/CA/en_CA/clothing/men/jeans/straight/501-original-fit-mens-jeans/p/005013127",""
"levis_511_001","511™ Slim Fit Men's Jeans","511","","","mens","Black","on-sales","https://www.levi.com/CA/en_CA/clothing/men/jeans/slim/511-slim-fit-mens-jeans/p/005113127",""
