"product_id","product_name","fit_id","fabric_id","wash_state","gender","default_inseam_label","colorway","status","nf_product_url","ty_product_url","description_html","release_season","run_code","notes","sku","denim_weight","denim_cat","made_in","product_description"
"true_guy_yatagarasu_selvedge_black_raw_true_guy_yatagarasu_selvedge_black","True Guy - Yatagarasu Selvedge - Black","true_guy","yatagarasu_selvedge_black","raw","mens","","black","regular","","https://tateandyoko.com/collections/jeans/products/true-guy-yatagarasu-selvedge-black","","window.","","","101133721","15oz","15oz Japanese Selvedge Denim","Made in Canada","The Yatagarasu Selvedge is a 15oz Japanese selvedge denim inspired by Yatagarasu, the mythical three-legged crow and revered Shinto God of guidance. This denim features a sulfur-dyed black warp that delivers a deep, rich tone from the outset. As the denim wears in, the contrasting white weft begins to emerge, creating dynamic, high-contrast fades unique to each wearer. Key details include tonal stitching, black pocket bags, pink selvedge ID, and black military spec copper buttons and rivets. The standout natural vegetable-tanned leather patch featuring metallic black foil artwork by renowned Canadian artist Jacqui Oakley, adds a powerful visual element to this mythologically-inspired piece.The True Guy is a straight leg fit with a medium rise along with extra room in the seat and thigh that falls straight from knee to hem.15oz Japanese Selvedge Denim100% CottonMade in CanadaSku: 101133721"
"super_guy_mij15_hand_dyed_natural_indigo_x_kakishibu_intangible_cultural_treasure_selvedge_denim_raw_super_guy_mij15_hand_dyed_natural_indigo_x_kakishibu_intangible_cultural_treasure_selvedge_denim","Super Guy - MIJ15 - Hand Dyed Natural Indigo x Kakishibu Intangible Cultural Treasure Selvedge Denim","super_guy","mij15_hand_dyed_natural_indigo_x_kakishibu_intangible_cultural_treasure_selvedge_denim","raw","mens","","indigo","regular","","https://tateandyoko.com/collections/jeans/products/super-guy-mij15-hand-dyed-natural-indigo-x-kakishibu-intangible-cultural-treasure-selvedge-denim","","","","","101133900","15oz","15ozJapanese Selvedge Denim","Made in Japan","This limited-edition release is part of our Made in Japan series, where we take the most traditional techniques, use the best materials we can get our hands on, and build everything with old-school construction. The MIJ15 is a 15oz selvedge denim, and the yarns are dyed using two ancient natural dyes, indigo and kakishibu.The warp is dyed in Tokushima, on Shikoku Island, using a process that’s been around for hundreds of years. It’s such an important part of Japanese culture that it’s officially recognized as an Intangible Cultural Treasure. The yarns are bundled into hanks, dipped into natural indigo dye vats that are literally buried in the ground, then pulled out and oxidized in the open air. But because the yarn is bundled, some parts are exposed more than others. So what you get is uneven oxidation across the yarn, some parts darker, some lighter, and that creates a really rich, varied range of indigo shades across the fabric. This only happens with natural dye, and only when it’s done by hand.The weft is dyed with kakishibu, which is made from fermented persimmon. This dye’s been used in Japan for over a thousand years, and it gives the yarn a kind of burnt orange or brown tone that comes through the surface of the denim. The mix of that color underneath the indigo, plus the texture from the slubby yarns, gives this fabric so much dimension. It almost looks like it’s glowing in certain lighting.The patch is real Shell Cordovan—dense horsehide that ages beautifully. And all the MIJ details are here: 100% iron buttons, copper rivets, raised belt loops, hidden back pocket rivets, selvedge fly, and the peekaboo selvedge on the coin pocket.The Super Guy is a slim tapered fit; medium rise, slim thigh and taper from the knee to hem.15ozJapanese Selvedge Denim100% CottonButton FlyRinse-washed, Tempi-treatedMade in JapanSKU:101133900"
"weird_guy_mij15_hand_dyed_natural_indigo_kakishibu_intangible_cultural_treasure_selvedge_denim_raw_weird_guy_mij15_hand_dyed_natural_indigo_x_kakishibu_intangible_cultural_treasure_selvedge_denim","Weird Guy - MIJ15 - Hand Dyed Natural Indigo Kakishibu Intangible Cultural Treasure Selvedge Denim","weird_guy","mij15_hand_dyed_natural_indigo_kakishibu_intangible_cultural_treasure_selvedge_denim","raw","mens","","indigo","regular","","https://tateandyoko.com/collections/jeans/products/weird-guy-mij15-hand-dyed-natural-indigo-x-kakishibu-intangible-cultural-treasure-selvedge-denim","","","","","101133903","15oz","15ozJapanese Selvedge Denim","Made in Japan","This limited-edition release is part of our Made in Japan series, where we take the most traditional techniques, use the best materials we can get our hands on, and build everything with old-school construction. The MIJ15 is a 15oz selvedge denim, and the yarns are dyed using two ancient natural dyes—indigo and kakishibu.The warp is dyed in Tokushima, on Shikoku Island, using a process that’s been around for hundreds of years. It’s such an important part of Japanese culture that it’s officially recognized as an Intangible Cultural Treasure. The yarns are bundled into hanks, dipped into natural indigo dye vats that are literally buried in the ground, then pulled out and oxidized in the open air. But because the yarn is bundled, some parts are exposed more than others. So what you get is uneven oxidation across the yarn—some parts darker, some lighter—and that creates a really rich, varied range of indigo shades across the fabric. This only happens with natural dye, and only when it’s done by hand.The weft is dyed with kakishibu, which is made from fermented persimmon. This dye’s been used in Japan for over a thousand years, and it gives the yarn a kind of burnt orange or brown tone that comes through the surface of the denim. The mix of that color underneath the indigo, plus the texture from the slubby yarns, gives this fabric so much dimension. It almost looks like it’s glowing in certain lighting.The patch is real Shell Cordovan—dense horsehide that ages beautifully. And all the MIJ details are here: 100% iron buttons, copper rivets, raised belt loops, hidden back pocket rivets, selvedge fly, and the peekaboo selvedge on the coin pocket.The Weird Guy is a regular tapered fit; medium rise, standard thigh and slight taper from the knee to hem.15ozJapanese Selvedge Denim100% CottonButton FlyRinse-washed, Tempi-treatedMade in JapanSKU:101133903"
"true_guy_mij15_hand_dyed_natural_indigo_x_kakishibu_intangible_cultural_treasure_selvedge_denim_raw_true_guy_mij15_hand_dyed_natural_indigo_x_kakishibu_intangible_cultural_treasure_selvedge_denim","True Guy - MIJ15 - Hand Dyed Natural Indigo x Kakishibu Intangible Cultural Treasure Selvedge Denim","true_guy","mij15_hand_dyed_natural_indigo_x_kakishibu_intangible_cultural_treasure_selvedge_denim","raw","mens","","indigo","regular","","https://tateandyoko.com/collections/jeans/products/true-guy-mij15-hand-dyed-natural-indigo-x-kakishibu-intangible-cultural-treasure-selvedge-denim","","","","","101133921","15oz","15ozJapanese Selvedge Denim","Made in Japan","This limited-edition release is part of our Made in Japan series, where we take the most traditional techniques, use the best materials we can get our hands on, and build everything with old-school construction. The MIJ15 is a 15oz selvedge denim, and the yarns are dyed using two ancient natural dyes—indigo and kakishibu.The warp is dyed in Tokushima, on Shikoku Island, using a process that’s been around for hundreds of years. It’s such an important part of Japanese culture that it’s officially recognized as an Intangible Cultural Treasure. The yarns are bundled into hanks, dipped into natural indigo dye vats that are literally buried in the ground, then pulled out and oxidized in the open air. But because the yarn is bundled, some parts are exposed more than others. So what you get is uneven oxidation across the yarn—some parts darker, some lighter—and that creates a really rich, varied range of indigo shades across the fabric. This only happens with natural dye, and only when it’s done by hand.The weft is dyed with kakishibu, which is made from fermented persimmon. This dye’s been used in Japan for over a thousand years, and it gives the yarn a kind of burnt orange or brown tone that comes through the surface of the denim. The mix of that color underneath the indigo, plus the texture from the slubby yarns, gives this fabric so much dimension. It almost looks like it’s glowing in certain lighting.The patch is real Shell Cordovan—dense horsehide that ages beautifully. And all the MIJ details are here: 100% iron buttons, copper rivets, raised belt loops, hidden back pocket rivets, selvedge fly, and the peekaboo selvedge on the coin pocket.The True Guy is a straight leg fit with a regular rise along with extra room in the seat and thigh that falls straight from knee to hem.15ozJapanese Selvedge Denim100% CottonButton FlyRinse-washed, Tempi-treatedMade in JapanSKU:101133921"
"super_guy_1954 godzilla selvedge_black_raw_super_guy_1954_godzilla_black","Super Guy - 1954 Godzilla Selvedge - Black","super_guy","1954 godzilla selvedge_black","raw","mens","","black","regular","","https://tateandyoko.com/collections/jeans/products/super-guy-1954-godzilla-black","","window.","","","GOD135100","16oz","16oz Japanese Selvedge","Made in Canada","Introducing the1954GodzillaSelvedge, a 16oz Japanese selvedge denim inspired by the originalGodzillafilm from1954. Shot in stark black-and-white, the movie blended realism and symbolism and it’s here where the legend began. This denim mirrors that aesthetic with a black warp and white weft construction and slubby texture that evokesGodzilla’s scaled skin.Woven in Japan using rope-dyed black warp yarns and undyed white weft yarns, the fabric has pronounced grain and a heavyweight hand that develops high-contrast fades over time. The black-and-white selvedge ID reinforces the original visual tone.Finished with a natural vegetable-tanned leather patch embossed and foil-stamped with classic1954Godzilla® artwork, black-and-white film-poster printed pocket bags, and a dual-branded woven label, all made in Canada with contrast stitching, a button fly, and silver metallic hardware.The Super Guy is a skinny fit with a medium rise, a slim top block, and a taper from knee to hem.16oz Japanese Selvedge100% CottonButton FlyMade in CanadaSku: GOD135100"
"weird_guy_1954 godzilla selvedge_black_raw_weird_guy_1954_godzilla_black","Weird Guy - 1954 Godzilla Selvedge - Black","weird_guy","1954 godzilla selvedge_black","raw","mens","","black","regular","","https://tateandyoko.com/collections/jeans/products/weird-guy-1954-godzilla-black","","window.","","","GOD135103","16oz","16oz Japanese Selvedge","Made in Canada","Introducing the1954GodzillaSelvedge, a 16oz Japanese selvedge denim inspired by the originalGodzillafilm from1954. Shot in stark black-and-white, the movie blended realism and symbolism and it’s here where the legend began. This denim mirrors that aesthetic with a black warp and white weft construction and slubby texture that evokesGodzilla’s scaled skin.Woven in Japan using rope-dyed black warp yarns and undyed white weft yarns, the fabric has pronounced grain and a heavyweight hand that develops high-contrast fades over time. The black-and-white selvedge ID reinforces the original visual tone.Finished with a natural vegetable-tanned leather patch embossed and foil-stamped with classic1954Godzilla® artwork, black-and-white film-poster printed pocket bags, and a dual-branded woven label, all made in Canada with contrast stitching, a button fly, and silver metallic hardware.The Weird Guy is a standard tapered fit with a medium rise, a comfortable top block, and a taper from knee to hem.16oz Japanese Selvedge100% CottonButton FlyMade in CanadaSku: GOD135103"
"easy_guy_1954 godzilla selvedge_black_raw_easy_guy_1954_godzilla_black","Easy Guy - 1954 Godzilla Selvedge - Black","easy_guy","1954 godzilla selvedge_black","raw","mens","","black","regular","","https://tateandyoko.com/collections/jeans/products/easy-guy-1954-godzilla-black","","window.","","","GOD135106","16oz","16oz Japanese Selvedge","Made in Canada","Introducing the1954GodzillaSelvedge, a 16oz Japanese selvedge denim inspired by the originalGodzillafilm from1954. Shot in stark black-and-white, the movie blended realism and symbolism and it’s here where the legend began. This denim mirrors that aesthetic with a black warp and white weft construction and slubby texture that evokesGodzilla’s scaled skin.Woven in Japan using rope-dyed black warp yarns and undyed white weft yarns, the fabric has pronounced grain and a heavyweight hand that develops high-contrast fades over time. The black-and-white selvedge ID reinforces the original visual tone.Finished with a natural vegetable-tanned leather patch embossed and foil-stamped with classic1954Godzilla® artwork, black-and-white film-poster printed pocket bags, and a dual-branded woven label, all made in Canada with contrast stitching, a button fly, and silver metallic hardware.The Strong Guy is a relaxed straight fit; high rise, fuller in the seat and thigh that falls to a wide leg opening.16oz Japanese Selvedge100% CottonButton FlyMade in CanadaSku: GOD135106"
"strong_guy_1954 godzilla selvedge_black_raw_strong_guy_1954_godzilla_black","Strong Guy - 1954 Godzilla Selvedge - Black","strong_guy","1954 godzilla selvedge_black","raw","mens","","black","regular","","https://tateandyoko.com/collections/jeans/products/strong-guy-1954-godzilla-black","","window.","","","GOD135116","16oz","16oz Japanese Selvedge","Made in Canada","Introducing the1954GodzillaSelvedge, a 16oz Japanese selvedge denim inspired by the originalGodzillafilm from1954. Shot in stark black-and-white, the movie blended realism and symbolism and it’s here where the legend began. This denim mirrors that aesthetic with a black warp and white weft construction and slubby texture that evokesGodzilla’s scaled skin.Woven in Japan using rope-dyed black warp yarns and undyed white weft yarns, the fabric has pronounced grain and a heavyweight hand that develops high-contrast fades over time. The black-and-white selvedge ID reinforces the original visual tone.Finished with a natural vegetable-tanned leather patch embossed and foil-stamped with classic1954Godzilla® artwork, black-and-white film-poster printed pocket bags, and a dual-branded woven label, all made in Canada with contrast stitching, a button fly, and silver metallic hardware.The Strong Guy is a relaxed straight fit; high rise, fuller in the seat and thigh that falls to a wide leg opening.16oz Japanese Selvedge100% CottonButton FlyMade in CanadaSku: GOD135116"
"unknown_fit_1954 godzilla selvedge_black_raw_true_guy_1954_godzilla_black","True  Guy - 1954 Godzilla Selvedge - Black","unknown_fit","1954 godzilla selvedge_black","raw","mens","","black","regular","","https://tateandyoko.com/collections/jeans/products/true-guy-1954-godzilla-black","","window.","","","GOD135121","16oz","16oz Japanese Selvedge","Made in Canada","Introducing the1954GodzillaSelvedge, a 16oz Japanese selvedge denim inspired by the originalGodzillafilm from1954. Shot in stark black-and-white, the movie blended realism and symbolism and it’s here where the legend began. This denim mirrors that aesthetic with a black warp and white weft construction and slubby texture that evokesGodzilla’s scaled skin.Woven in Japan using rope-dyed black warp yarns and undyed white weft yarns, the fabric has pronounced grain and a heavyweight hand that develops high-contrast fades over time. The black-and-white selvedge ID reinforces the original visual tone.Finished with a natural vegetable-tanned leather patch embossed and foil-stamped with classic1954Godzilla® artwork, black-and-white film-poster printed pocket bags, and a dual-branded woven label, all made in Canada with contrast stitching, a button fly, and silver metallic hardware.The True Guy is a straight leg fit with a regular rise along with extra room in the seat and thigh that falls straight from knee to hem.16oz Japanese Selvedge100% CottonButton FlyMade in CanadaSku: GOD135121"
"super_guy_dia_de_los_muertos_selvedge_indigo_raw_super_guy_dia_de_los_muertos_selvedge_indigo_1","Super Guy - Dia De Los Muertos Selvedge - Indigo","super_guy","dia_de_los_muertos_selvedge_indigo","raw","mens","","indigo","regular","","https://tateandyoko.com/collections/jeans/products/super-guy-dia-de-los-muertos-selvedge-indigo-1","","window.","","","WOL124300","12.5oz","12.5oz Japanese Selvedge Denim","Made in Canada","The Dia De Los Muertos Selvedge is a 12.5oz Japanese selvedge denim inspired by Mexico’s vibrant Day of the Dead tradition. Woven in Okayama, Japan on vintage shuttle looms, it uses rope-dyed short slub yarns to create a textured surface that will develop dramatic, high-contrast vertical fades over time. Made from 100% Mexican upland cotton, this denim pays tribute to its roots with a multicolor selvedge ID inspired by traditional Mexican sarape blankets. Additional details include contrast stitching, silver metallic hardware, and a vegetable-tanned leather patch and pocket flasher featuring original artwork by Mexico City tattoo artist José Ruiz (aka Koopa). His illustration depicts a skeleton guided to the underworld by a Xoloitzcuintli, the sacred Mexican hairless dog believed to escort souls to the afterlife.The Super Guy is a slim tapered fit; medium rise, slim thigh and taper from the knee to hem.12.5oz Japanese Selvedge Denim100% CottonButton FlyMade in CanadaSKU:WOL124300"
"weird_guy_dia_de_los_muertos_selvedge_indigo_raw_weird_guy_dia_de_los_muertos_selvedge_indigo_1","Weird Guy - Dia De Los Muertos Selvedge - Indigo","weird_guy","dia_de_los_muertos_selvedge_indigo","raw","mens","","indigo","regular","","https://tateandyoko.com/collections/jeans/products/weird-guy-dia-de-los-muertos-selvedge-indigo-1","","window.","","","WOL124303","12.5oz","12.5oz Japanese Selvedge Denim","Made in Canada","The Dia De Los Muertos Selvedge is a 12.5oz Japanese selvedge denim inspired by Mexico’s vibrant Day of the Dead tradition. Woven in Okayama, Japan on vintage shuttle looms, it uses rope-dyed short slub yarns to create a textured surface that will develop dramatic, high-contrast vertical fades over time. Made from 100% Mexican upland cotton, this denim pays tribute to its roots with a multicolor selvedge ID inspired by traditional Mexican sarape blankets. Additional details include contrast stitching, silver metallic hardware, and a vegetable-tanned leather patch and pocket flasher featuring original artwork by Mexico City tattoo artist José Ruiz (aka Koopa). His illustration depicts a skeleton guided to the underworld by a Xoloitzcuintli, the sacred Mexican hairless dog believed to escort souls to the afterlife.The Weird Guy is a regular tapered fit; medium rise, standard thigh and slight taper from the knee to hem.12.5oz Japanese Selvedge Denim100% CottonButton FlyMade in CanadaSKU:WOL124303"
"easy_guy_dia_de_los_muertos_selvedge_indigo_raw_easy_guy_dia_de_los_muertos_selvedge_indigo_1","Easy Guy - Dia De Los Muertos Selvedge - Indigo","easy_guy","dia_de_los_muertos_selvedge_indigo","raw","mens","","indigo","regular","","https://tateandyoko.com/collections/jeans/products/easy-guy-dia-de-los-muertos-selvedge-indigo-1","","window.","","","WOL124306","12.5oz","12.5oz Japanese Selvedge Denim","Made in Canada","The Dia De Los Muertos Selvedge is a 12.5oz Japanese selvedge denim inspired by Mexico’s vibrant Day of the Dead tradition. Woven in Okayama, Japan on vintage shuttle looms, it uses rope-dyed short slub yarns to create a textured surface that will develop dramatic, high-contrast vertical fades over time. Made from 100% Mexican upland cotton, this denim pays tribute to its roots with a multicolor selvedge ID inspired by traditional Mexican sarape blankets. Additional details include contrast stitching, silver metallic hardware, and a vegetable-tanned leather patch and pocket flasher featuring original artwork by Mexico City tattoo artist José Ruiz (aka Koopa). His illustration depicts a skeleton guided to the underworld by a Xoloitzcuintli, the sacred Mexican hairless dog believed to escort souls to the afterlife.The Easy Guy is a high-rise tapered fit with a relaxed top block and a sharp taper from knee to hem.12.5oz Japanese Selvedge Denim100% CottonButton FlyMade in CanadaSKU:WOL124306"
