"product_id","sku","product_name","fit_id","fabric_id","wash_state","gender","default_inseam_label","colorway","status","regular_price","sales_price","nudie_product_url","description_html","release_season","run_code","notes","denim_weight_oz","denim_cat","material","made_in","product_description","collections","is_jeans","scraped_at"
"grim_tim_cloud_grey_the_light_grey_wash_the_black_thread_anchors_the_wash_grim_tim_cloud_grey","","Grim Tim Cloud Grey","grim_tim","cloud_grey","The light grey wash, The black thread anchors the wash","mens","","grey","regular","250.0","","https://www.nudiejeans.com/en-CA/product/grim-tim-cloud-grey","<div class=""ProductDetailsDialog_description__2n4hF"">Slim-fit jeans with a low waist and straight leg made from organic stretch denim. The light grey wash offers soft contrast through subtle abrasions and faded highlights. Worn areas reveal slight yarn slubs, while the darker sections show a salt-and-pepper texture with varied monochrome tones. The black thread anchors the wash with a bold point of contrast, sharpening the overall sense of greyness.</div>","","","","13","13 oz. stretch denim","99% Cotton 1% Elastane","Made in Tunisia","Slim-fit jeans with a low waist and straight leg made from organic stretch denim. The light grey wash offers soft contrast through subtle abrasions and faded highlights. Worn areas reveal slight yarn slubs, while the darker sections show a salt-and-pepper texture with varied monochrome tones. The black thread anchors the wash with a bold point of contrast, sharpening the overall sense of greyness.","","yes","2026-02-27T00:12:11.374827"
"solid_ollie_the_first_as_you_wear_and_wash_solid_ollie_the_first","","Solid Ollie The First","solid_ollie","the_first","As you wear and wash","mens","","indigo","regular","280.0","","https://www.nudiejeans.com/en-CA/product/solid-ollie-the-first","<div class=""ProductDetailsDialog_description__2n4hF"">This denim features impressive textural qualities comparable to rigid denim, achieved through clever yet simple textile engineering. As you wear and wash these jeans, they embark on a break-in journey that reveals a rich yarn slub character, with both a salt-and-pepper grain and a subtle crosshatch texture. The deep indigo yarns age to showcase high-contrast wear marks, amplifying the aging trajectory of the jeans.<br/> <br/>Adding a distinctive contrast, the back pockets are adorned with our ""Ecru Embo""—a rare embroidery color that nods to one of our most iconic slim fits from the past. A specially designed patch, also in ecru, adorns the waistband.</div>","","","Members only; Limited","13","13 oz. stretch denim","99% Cotton 1% Elastane","Made in Italy","This denim features impressive textural qualities comparable to rigid denim, achieved through clever yet simple textile engineering. As you wear and wash these jeans, they embark on a break-in journey that reveals a rich yarn slub character, with both a salt-and-pepper grain and a subtle crosshatch texture. The deep indigo yarns age to showcase high-contrast wear marks, amplifying the aging trajectory of the jeans. Adding a distinctive contrast, the back pockets are adorned with our ""Ecru Embo""—a rare embroidery color that nods to one of our most iconic slim fits from the past. A specially designed patch, also in ecru, adorns the waistband.","","yes","2026-02-27T00:12:45.051491"
"gritty_jackson_dry_deadstock_22_dry_gritty_jackson_dry_deadstock_22","","Gritty Jackson Dry Deadstock 22","gritty_jackson","dry_deadstock_22","dry","mens","","indigo","regular","280.0","","https://www.nudiejeans.com/en-CA/product/gritty-jackson-dry-deadstock-22","<div class=""ProductDetailsDialog_description__2n4hF"">Regular-fit jeans with a mid waist and straight leg.<br/><br/>This fabric was developed exclusively for Nudie Jeans back in 2022. Crafted and brought to life by the Japanese denim powerhouse Kurabo Denim. At 13.5 oz. This mid-weight denim hits a sweet spot between weight and robust feel. The fabric carries a hand that is more textured than smooth while still offering great comfort. While it's barely visible in the dry state, this denim features a green cast that'll show its full potential only when faded and broken in. The fabric composition features long slub, ring-spun yarns for both warp and weft, which creates an evident crosshatch texture.<br/><br/>A revival of a great fabric. Limited to 150 pieces.<br/><br/>Breaking in dry denim is a metamorphosis. The interplay between the garment and the user is a spectacular transformation happening slowly in front of your eyes. Over time, with wearing and washing, the indigo fades, exposing the fabric's texture, and eventually unveiling an intricate span of hues. This creates a unique, one-off version of the jeans.</div>","","","Members only; Limited; Deadstock","13.5","13.5 oz. rigid denim","100% Cotton","Made in Italy","Regular-fit jeans with a mid waist and straight leg. This fabric was developed exclusively for Nudie Jeans back in 2022. Crafted and brought to life by the Japanese denim powerhouse Kurabo Denim. At 13.5 oz. This mid-weight denim hits a sweet spot between weight and robust feel. The fabric carries a hand that is more textured than smooth while still offering great comfort. While it's barely visible in the dry state, this denim features a green cast that'll show its full potential only when faded and broken in. The fabric composition features long slub, ring-spun yarns for both warp and weft, which creates an evident crosshatch texture. A revival of a great fabric. Limited to 150 pieces. Breaking in dry denim is a metamorphosis. The interplay between the garment and the user is a spectacular transformation happening slowly in front of your eyes. Over time, with wearing and washing, the indigo fades, exposing the fabric's texture, and eventually unveiling an intricate span of hues. This creates a unique, one-off version of the jeans.","","yes","2026-02-27T00:13:17.380719"
