"product_id","sku","product_name","fit_id","fabric_id","wash_state","gender","default_inseam_label","colorway","status","regular_price","sales_price","nudie_product_url","description_html","release_season","run_code","notes","denim_weight_oz","denim_cat","material","made_in","product_description","collections","is_jeans","scraped_at"
"rad_rufus_everblue_unknown_rad_rufus_everblue","","Rad Rufus Everblue","rad_rufus","everblue","","mens","24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 38","blue","regular","250.0","","https://www.nudiejeans.com/en-CA/product/rad-rufus-everblue","","","","","","","","","","","yes","2026-02-25T23:57:59.617926"
"lean_dean_iron_dust_unknown_lean_dean_iron_dust","","Lean Dean Iron Dust","lean_dean","iron_dust","","mens","24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 38","","regular","250.0","","https://www.nudiejeans.com/en-CA/product/lean-dean-iron-dust","","","","","","","","","","","yes","2026-02-26T00:27:13.313143"
"solid_ollie_cloud_blue_unknown_solid_ollie_cloud_blue","","Solid Ollie Cloud Blue","solid_ollie","cloud_blue","","mens","24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 38","blue","regular","250.0","","https://www.nudiejeans.com/en-CA/product/solid-ollie-cloud-blue","","","","","","","","","","","yes","2026-02-26T00:37:36.397310"
